x,y,psi,omega,u,v
0.000000,0.846154,0.000000,-0.000000,0.000000,0.000000
0.000000,0.855769,0.000000,-0.000000,0.000000,0.000000
0.000000,0.865385,0.000000,-0.000000,0.000000,0.000000
0.000000,0.875000,0.000000,-0.000000,0.000000,0.000000
0.000000,0.884615,0.000000,-0.000000,0.000000,0.000000
0.000000,0.894231,0.000000,-0.000000,0.000000,0.000000
0.000000,0.903846,0.000000,-0.000000,0.000000,0.000000
0.000000,0.913462,0.000000,-0.000000,0.000000,0.000000
0.000000,0.923077,0.000000,-0.000000,0.000000,0.000000
0.000000,0.932692,0.000000,-0.000000,0.000000,0.000000
0.000000,0.942308,0.000000,-0.000000,0.000000,0.000000
0.000000,0.951923,0.000000,-0.000000,0.000000,0.000000
0.000000,0.961538,0.000000,-0.000000,0.000000,0.000000
0.000000,0.971154,0.000000,-0.000000,0.000000,0.000000
0.000000,0.980769,0.000000,-0.000000,0.000000,0.000000
0.000000,0.990385,0.000000,-0.000000,0.000000,0.000000
0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0.009615,0.000000,0.000000,0.000000,0.000000,0.000000
0.009615,0.009615,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.019231,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.028846,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.038462,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.048077,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.057692,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.067308,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.076923,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.086538,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.096154,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.105769,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.115385,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.125000,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.134615,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.144231,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.153846,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.163462,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.173077,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.182692,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.192308,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.201923,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.211538,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.221154,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.230769,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.240385,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.250000,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.259615,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.269231,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.278846,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.288462,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.298077,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.307692,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.317308,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.326923,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.336538,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.346154,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.355769,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.365385,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.375000,0.000000,-0.000000,0.000000,-0.000000
0.009615,0.384615,0.000000,-0.000000,0.000000,-0.000000
