x,y,psi,omega,u,v
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.009615,0.000000,-0.001195,0.000000,0.000000
0.000000,0.019231,0.000000,-0.005148,0.000000,0.000000
0.000000,0.028846,0.000000,-0.009688,0.000000,0.000000
0.000000,0.038462,0.000000,-0.013247,0.000000,0.000000
0.000000,0.048077,0.000000,-0.015003,0.000000,0.000000
0.000000,0.057692,0.000000,-0.014574,0.000000,0.000000
0.000000,0.067308,0.000000,-0.011791,0.000000,0.000000
0.000000,0.076923,0.000000,-0.006591,0.000000,0.000000
0.000000,0.086538,0.000000,0.001037,0.000000,0.000000
0.000000,0.096154,0.000000,0.011077,0.000000,0.000000
0.000000,0.105769,0.000000,0.023495,0.000000,0.000000
0.000000,0.115385,0.000000,0.038246,0.000000,0.000000
0.000000,0.125000,0.000000,0.055284,0.000000,0.000000
0.000000,0.134615,0.000000,0.074555,0.000000,0.000000
0.000000,0.144231,0.000000,0.096010,0.000000,0.000000
0.000000,0.153846,0.000000,0.119594,0.000000,0.000000
0.000000,0.163462,0.000000,0.145257,0.000000,0.000000
0.000000,0.173077,0.000000,0.172945,0.000000,0.000000
0.000000,0.182692,0.000000,0.202608,0.000000,0.000000
0.000000,0.192308,0.000000,0.234193,0.000000,0.000000
0.000000,0.201923,0.000000,0.267649,0.000000,0.000000
0.000000,0.211538,0.000000,0.302923,0.000000,0.000000
0.000000,0.221154,0.000000,0.339961,0.000000,0.000000
0.000000,0.230769,0.000000,0.378709,0.000000,0.000000
0.000000,0.240385,0.000000,0.419109,0.000000,0.000000
0.000000,0.250000,0.000000,0.461104,0.000000,0.000000
0.000000,0.259615,0.000000,0.504633,0.000000,0.000000
0.000000,0.269231,0.000000,0.549633,0.000000,0.000000
0.000000,0.278846,0.000000,0.596039,0.000000,0.000000
0.000000,0.288462,0.000000,0.643782,0.000000,0.000000
0.000000,0.298077,0.000000,0.692792,0.000000,0.000000
0.000000,0.307692,0.000000,0.742994,0.000000,0.000000
0.000000,0.317308,0.000000,0.794311,0.000000,0.000000
0.000000,0.326923,0.000000,0.846663,0.000000,0.000000
0.000000,0.336538,0.000000,0.899968,0.000000,0.000000
0.000000,0.346154,0.000000,0.954138,0.000000,0.000000
0.000000,0.355769,0.000000,1.009085,0.000000,0.000000
0.000000,0.365385,0.000000,1.064719,0.000000,0.000000
0.000000,0.375000,0.000000,1.120946,0.000000,0.000000
0.000000,0.384615,0.000000,1.177671,0.000000,0.000000
0.000000,0.394231,0.000000,1.234796,0.000000,0.000000
0.000000,0.403846,0.000000,1.292225,0.000000,0.000000
0.000000,0.413462,0.000000,1.349859,0.000000,0.000000
0.000000,0.423077,0.000000,1.407599,0.000000,0.000000
0.000000,0.432692,0.000000,1.465348,0.000000,0.000000
0.000000,0.442308,0.000000,1.523009,0.000000,0.000000
0.000000,0.451923,0.000000,1.580489,0.000000,0.000000
0.000000,0.461538,0.000000,1.637695,0.000000,0.000000
0.000000,0.471154,0.000000,1.694541,0.000000,0.000000
0.000000,0.480769,0.000000,1.750943,0.000000,0.000000
0.000000,0.490385,0.000000,1.806825,0.000000,0.000000
0.000000,0.500000,0.000000,1.862115,0.000000,0.000000
0.000000,0.509615,0.000000,1.916753,0.000000,0.000000
0.000000,0.519231,0.000000,1.970684,0.000000,0.000000
0.000000,0.528846,0.000000,2.023867,0.000000,0.000000
0.000000,0.538462,0.000000,2.076271,0.000000,0.000000
0.000000,0.548077,0.000000,2.127880,0.000000,0.000000
0.000000,0.557692,0.000000,2.178692,0.000000,0.000000
0.000000,0.567308,0.000000,2.228723,0.000000,0.000000
0.000000,0.576923,0.000000,2.278007,0.000000,0.000000
0.000000,0.586538,0.000000,2.326603,0.000000,0.000000
0.000000,0.596154,0.000000,2.374588,0.000000,0.000000
0.000000,0.605769,0.000000,2.422071,0.000000,0.000000
0.000000,0.615385,0.000000,2.469189,0.000000,0.000000
0.000000,0.625000,0.000000,2.516113,0.000000,0.000000
0.000000,0.634615,0.000000,2.563050,0.000000,0.000000
0.000000,0.644231,0.000000,2.610252,0.000000,0.000000
0.000000,0.653846,0.000000,2.658018,0.000000,0.000000
0.000000,0.663462,0.000000,2.706704,0.000000,0.000000
0.000000,0.673077,0.000000,2.756726,0.000000,0.000000
0.000000,0.682692,0.000000,2.808574,0.000000,0.000000
0.000000,0.692308,0.000000,2.862820,0.000000,0.000000
0.000000,0.701923,0.000000,2.920133,0.000000,0.000000
0.000000,0.711538,0.000000,2.981294,0.000000,0.000000
0.000000,0.721154,0.000000,3.047215,0.000000,0.000000
0.000000,0.730769,0.000000,3.118959,0.000000,0.000000
0.000000,0.740385,0.000000,3.197773,0.000000,0.000000
0.000000,0.750000,0.000000,3.285116,0.000000,0.000000
0.000000,0.759615,0.000000,3.382701,0.000000,0.000000
0.000000,0.769231,0.000000,3.492547,0.000000,0.000000
0.000000,0.778846,0.000000,3.617035,0.000000,0.000000
0.000000,0.788462,0.000000,3.758989,0.000000,0.000000
0.000000,0.798077,0.000000,3.921768,0.000000,0.000000
0.000000,0.807692,0.000000,4.109387,0.000000,0.000000
0.000000,0.817308,0.000000,4.326673,0.000000,0.000000
0.000000,0.826923,0.000000,4.579463,0.000000,0.000000
0.000000,0.836538,0.000000,4.874871,0.000000,0.000000
0.000000,0.846154,0.000000,5.221642,0.000000,0.000000
0.000000,0.855769,0.000000,5.630641,0.000000,0.000000
0.000000,0.865385,0.000000,6.115536,0.000000,0.000000
0.000000,0.875000,0.000000,6.693777,0.000000,0.000000
0.000000,0.884615,0.000000,7.388022,0.000000,0.000000
0.000000,0.894231,0.000000,8.228237,0.000000,0.000000
0.000000,0.903846,0.000000,9.254910,0.000000,0.000000
0.000000,0.913462,0.000000,10.524456,0.000000,0.000000
0.000000,0.923077,0.000000,12.120116,0.000000,0.000000
0.000000,0.932692,0.000000,14.178181,0.000000,0.000000
0.000000,0.942308,0.000000,16.955680,0.000000,0.000000
0.000000,0.951923,0.000000,20.994138,0.000000,0.000000
0.000000,0.961538,0.000000,27.429506,0.000000,0.000000
0.000000,0.971154,0.000000,38.186574,0.000000,0.000000
0.000000,0.980769,0.000000,54.151518,0.000000,0.000000
0.000000,0.990385,0.000000,63.688960,0.000000,0.000000
0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0.009615,0.000000,0.000000,-0.001195,0.000000,0.000000
0.009615,0.009615,0.000000,-0.002710,0.000012,-0.000012
0.009615,0.019231,0.000000,-0.002791,0.000020,-0.000037
0.009615,0.028846,0.000000,-0.002689,0.000019,-0.000062
0.009615,0.038462,0.000001,-0.002189,0.000013,-0.000079
0.009615,0.048077,0.000001,-0.000752,0.000003,-0.000081
0.009615,0.057692,0.000001,0.002072,-0.000008,-0.000066
0.009615,0.067308,0.000001,0.006577,-0.000019,-0.000031
0.009615,0.076923,0.000000,0.012942,-0.000031,0.000025
0.009615,0.086538,-0.000000,0.021263,-0.000042,0.000101
0.009615,0.096154,-0.000001,0.031588,-0.000054,0.000199
0.009615,0.105769,-0.000001,0.043936,-0.000065,0.000319
0.009615,0.115385,-0.000002,0.058302,-0.000076,0.000459
0.009615,0.125000,-0.000003,0.074669,-0.000087,0.000619
0.009615,0.134615,-0.000003,0.093010,-0.000098,0.000800
0.009615,0.144231,-0.000004,0.113293,-0.000108,0.001001
0.009615,0.153846,-0.000006,0.135481,-0.000118,0.001221
0.009615,0.163462,-0.000007,0.159537,-0.000128,0.001461
0.009615,0.173077,-0.000008,0.185417,-0.000138,0.001718
0.009615,0.182692,-0.000009,0.213080,-0.000147,0.001994
0.009615,0.192308,-0.000011,0.242480,-0.000156,0.002287
0.009615,0.201923,-0.000012,0.273573,-0.000165,0.002598
0.009615,0.211538,-0.000014,0.306311,-0.000174,0.002925
0.009615,0.221154,-0.000016,0.340647,-0.000182,0.003268
0.009615,0.230769,-0.000018,0.376530,-0.000190,0.003627
0.009615,0.240385,-0.000019,0.413909,-0.000198,0.004001
0.009615,0.250000,-0.000021,0.452731,-0.000206,0.004390
0.009615,0.259615,-0.000023,0.492940,-0.000213,0.004792
0.009615,0.269231,-0.000025,0.534479,-0.000220,0.005209
0.009615,0.278846,-0.000028,0.577289,-0.000226,0.005638
0.009615,0.288462,-0.000030,0.621307,-0.000233,0.006079
0.009615,0.298077,-0.000032,0.666470,-0.000238,0.006532
0.009615,0.307692,-0.000034,0.712709,-0.000244,0.006996
0.009615,0.317308,-0.000037,0.759957,-0.000249,0.007470
0.009615,0.326923,-0.000039,0.808140,-0.000254,0.007953
0.009615,0.336538,-0.000042,0.857185,-0.000258,0.008446
0.009615,0.346154,-0.000044,0.907016,-0.000262,0.008946
0.009615,0.355769,-0.000047,0.957553,-0.000266,0.009453
0.009615,0.365385,-0.000049,1.008716,-0.000269,0.009967
0.009615,0.375000,-0.000052,1.060422,-0.000272,0.010486
0.009615,0.384615,-0.000054,1.112589,-0.000274,0.011010
0.009615,0.394231,-0.000057,1.165131,-0.000275,0.011537
0.009615,0.403846,-0.000060,1.217962,-0.000277,0.012067
0.009615,0.413462,-0.000062,1.270997,-0.000277,0.012600
0.009615,0.423077,-0.000065,1.324150,-0.000278,0.013133
0.009615,0.432692,-0.000068,1.377336,-0.000277,0.013667
0.009615,0.442308,-0.000070,1.430472,-0.000277,0.014199
0.009615,0.451923,-0.000073,1.483477,-0.000276,0.014731
0.009615,0.461538,-0.000076,1.536271,-0.000274,0.015260
0.009615,0.471154,-0.000078,1.588779,-0.000272,0.015786
0.009615,0.480769,-0.000081,1.640930,-0.000270,0.016308
0.009615,0.490385,-0.000084,1.692660,-0.000267,0.016825
0.009615,0.500000,-0.000086,1.743907,-0.000264,0.017338
0.009615,0.509615,-0.000089,1.794620,-0.000261,0.017844
0.009615,0.519231,-0.000091,1.844754,-0.000257,0.018345
0.009615,0.528846,-0.000094,1.894275,-0.000254,0.018839
0.009615,0.538462,-0.000096,1.943160,-0.000250,0.019326
0.009615,0.548077,-0.000098,1.991396,-0.000246,0.019806
0.009615,0.557692,-0.000101,2.038986,-0.000242,0.020279
0.009615,0.567308,-0.000103,2.085947,-0.000239,0.020745
0.009615,0.576923,-0.000105,2.132314,-0.000235,0.021205
0.009615,0.586538,-0.000108,2.178142,-0.000232,0.021658
0.009615,0.596154,-0.000110,2.223504,-0.000229,0.022107
0.009615,0.605769,-0.000112,2.268503,-0.000227,0.022551
0.009615,0.615385,-0.000114,2.313263,-0.000226,0.022993
0.009615,0.625000,-0.000116,2.357941,-0.000226,0.023433
0.009615,0.634615,-0.000118,2.402728,-0.000226,0.023873
0.009615,0.644231,-0.000121,2.447854,-0.000228,0.024316
0.009615,0.653846,-0.000123,2.493589,-0.000232,0.024765
