x,y,psi,omega,u,v
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.009615,0.000000,-0.001204,0.000000,0.000000
0.000000,0.019231,0.000000,-0.005196,0.000000,0.000000
0.000000,0.028846,0.000000,-0.009796,0.000000,0.000000
0.000000,0.038462,0.000000,-0.013415,0.000000,0.000000
0.000000,0.048077,0.000000,-0.015220,0.000000,0.000000
0.000000,0.057692,0.000000,-0.014824,0.000000,0.000000
0.000000,0.067308,0.000000,-0.012053,0.000000,0.000000
0.000000,0.076923,0.000000,-0.006841,0.000000,0.000000
0.000000,0.086538,0.000000,0.000824,0.000000,0.000000
0.000000,0.096154,0.000000,0.010927,0.000000,0.000000
0.000000,0.105769,0.000000,0.023434,0.000000,0.000000
0.000000,0.115385,0.000000,0.038304,0.000000,0.000000
0.000000,0.125000,0.000000,0.055487,0.000000,0.000000
0.000000,0.134615,0.000000,0.074932,0.000000,0.000000
0.000000,0.144231,0.000000,0.096587,0.000000,0.000000
0.000000,0.153846,0.000000,0.120399,0.000000,0.000000
0.000000,0.163462,0.000000,0.146316,0.000000,0.000000
0.000000,0.173077,0.000000,0.174285,0.000000,0.000000
0.000000,0.182692,0.000000,0.204254,0.000000,0.000000
0.000000,0.192308,0.000000,0.236169,0.000000,0.000000
0.000000,0.201923,0.000000,0.269978,0.000000,0.000000
0.000000,0.211538,0.000000,0.305626,0.000000,0.000000
0.000000,0.221154,0.000000,0.343060,0.000000,0.000000
0.000000,0.230769,0.000000,0.382222,0.000000,0.000000
0.000000,0.240385,0.000000,0.423054,0.000000,0.000000
0.000000,0.250000,0.000000,0.465497,0.000000,0.000000
0.000000,0.259615,0.000000,0.509488,0.000000,0.000000
0.000000,0.269231,0.000000,0.554963,0.000000,0.000000
0.000000,0.278846,0.000000,0.601854,0.000000,0.000000
0.000000,0.288462,0.000000,0.650090,0.000000,0.000000
0.000000,0.298077,0.000000,0.699600,0.000000,0.000000
0.000000,0.307692,0.000000,0.750305,0.000000,0.000000
0.000000,0.317308,0.000000,0.802128,0.000000,0.000000
0.000000,0.326923,0.000000,0.854985,0.000000,0.000000
0.000000,0.336538,0.000000,0.908792,0.000000,0.000000
0.000000,0.346154,0.000000,0.963459,0.000000,0.000000
0.000000,0.355769,0.000000,1.018897,0.000000,0.000000
0.000000,0.365385,0.000000,1.075010,0.000000,0.000000
0.000000,0.375000,0.000000,1.131705,0.000000,0.000000
0.000000,0.384615,0.000000,1.188883,0.000000,0.000000
0.000000,0.394231,0.000000,1.246445,0.000000,0.000000
0.000000,0.403846,0.000000,1.304291,0.000000,0.000000
