step,time,psi_res,omega_res,max_residual
0,0.01,82.2404,10615.8,10615.8
500,5.01,0.399716,9051.58,9051.58
1000,10.01,0.0188597,9102.55,9102.55
1500,15.01,0.0011994,9104.71,9104.71
2000,20.01,8.30037e-05,9104.83,9104.83
2500,25.01,6.08624e-06,9104.83,9104.83
3000,30.01,4.77984e-07,9104.83,9104.83
3500,35.01,3.86433e-08,9104.83,9104.83
4000,40.01,3.32353e-09,9104.83,9104.83
4500,45.01,2.89933e-10,9104.83,9104.83
