x,y,psi,omega,u,v
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.009615,0.000000,-0.001104,0.000000,0.000000
0.000000,0.019231,0.000000,-0.004554,0.000000,0.000000
0.000000,0.028846,0.000000,-0.008359,0.000000,0.000000
0.000000,0.038462,0.000000,-0.011171,0.000000,0.000000
0.000000,0.048077,0.000000,-0.012303,0.000000,0.000000
0.000000,0.057692,0.000000,-0.011452,0.000000,0.000000
0.000000,0.067308,0.000000,-0.008500,0.000000,0.000000
0.000000,0.076923,0.000000,-0.003415,0.000000,0.000000
0.000000,0.086538,0.000000,0.003792,0.000000,0.000000
0.000000,0.096154,0.000000,0.013088,0.000000,0.000000
0.000000,0.105769,0.000000,0.024430,0.000000,0.000000
0.000000,0.115385,0.000000,0.037769,0.000000,0.000000
0.000000,0.125000,0.000000,0.053052,0.000000,0.000000
0.000000,0.134615,0.000000,0.070228,0.000000,0.000000
0.000000,0.144231,0.000000,0.089247,0.000000,0.000000
0.000000,0.153846,0.000000,0.110060,0.000000,0.000000
0.000000,0.163462,0.000000,0.132620,0.000000,0.000000
0.000000,0.173077,0.000000,0.156881,0.000000,0.000000
0.000000,0.182692,0.000000,0.182801,0.000000,0.000000
0.000000,0.192308,0.000000,0.210338,0.000000,0.000000
0.000000,0.201923,0.000000,0.239451,0.000000,0.000000
0.000000,0.211538,0.000000,0.270101,0.000000,0.000000
0.000000,0.221154,0.000000,0.302249,0.000000,0.000000
0.000000,0.230769,0.000000,0.335856,0.000000,0.000000
0.000000,0.240385,0.000000,0.370883,0.000000,0.000000
0.000000,0.250000,0.000000,0.407291,0.000000,0.000000
0.000000,0.259615,0.000000,0.445039,0.000000,0.000000
0.000000,0.269231,0.000000,0.484086,0.000000,0.000000
0.000000,0.278846,0.000000,0.524389,0.000000,0.000000
0.000000,0.288462,0.000000,0.565905,0.000000,0.000000
0.000000,0.298077,0.000000,0.608587,0.000000,0.000000
0.000000,0.307692,0.000000,0.652387,0.000000,0.000000
0.000000,0.317308,0.000000,0.697256,0.000000,0.000000
0.000000,0.326923,0.000000,0.743140,0.000000,0.000000
0.000000,0.336538,0.000000,0.789986,0.000000,0.000000
0.000000,0.346154,0.000000,0.837736,0.000000,0.000000
0.000000,0.355769,0.000000,0.886332,0.000000,0.000000
0.000000,0.365385,0.000000,0.935712,0.000000,0.000000
0.000000,0.375000,0.000000,0.985813,0.000000,0.000000
0.000000,0.384615,0.000000,1.036569,0.000000,0.000000
0.000000,0.394231,0.000000,1.087913,0.000000,0.000000
0.000000,0.403846,0.000000,1.139778,0.000000,0.000000
0.000000,0.413462,0.000000,1.192094,0.000000,0.000000
0.000000,0.423077,0.000000,1.244790,0.000000,0.000000
0.000000,0.432692,0.000000,1.297797,0.000000,0.000000
0.000000,0.442308,0.000000,1.351045,0.000000,0.000000
0.000000,0.451923,0.000000,1.404464,0.000000,0.000000
0.000000,0.461538,0.000000,1.457989,0.000000,0.000000
0.000000,0.471154,0.000000,1.511554,0.000000,0.000000
0.000000,0.480769,0.000000,1.565098,0.000000,0.000000
0.000000,0.490385,0.000000,1.618563,0.000000,0.000000
0.000000,0.500000,0.000000,1.671897,0.000000,0.000000
0.000000,0.509615,0.000000,1.725054,0.000000,0.000000
0.000000,0.519231,0.000000,1.777996,0.000000,0.000000
0.000000,0.528846,0.000000,1.830692,0.000000,0.000000
0.000000,0.538462,0.000000,1.883123,0.000000,0.000000
0.000000,0.548077,0.000000,1.935281,0.000000,0.000000
0.000000,0.557692,0.000000,1.987170,0.000000,0.000000
0.000000,0.567308,0.000000,2.038811,0.000000,0.000000
0.000000,0.576923,0.000000,2.090241,0.000000,0.000000
0.000000,0.586538,0.000000,2.141518,0.000000,0.000000
0.000000,0.596154,0.000000,2.192720,0.000000,0.000000
0.000000,0.605769,0.000000,2.243951,0.000000,0.000000
0.000000,0.615385,0.000000,2.295343,0.000000,0.000000
0.000000,0.625000,0.000000,2.347061,0.000000,0.000000
0.000000,0.634615,0.000000,2.399303,0.000000,0.000000
0.000000,0.644231,0.000000,2.452311,0.000000,0.000000
0.000000,0.653846,0.000000,2.506372,0.000000,0.000000
0.000000,0.663462,0.000000,2.561827,0.000000,0.000000
0.000000,0.673077,0.000000,2.619077,0.000000,0.000000
0.000000,0.682692,0.000000,2.678594,0.000000,0.000000
0.000000,0.692308,0.000000,2.740929,0.000000,0.000000
0.000000,0.701923,0.000000,2.806728,0.000000,0.000000
0.000000,0.711538,0.000000,2.876746,0.000000,0.000000
0.000000,0.721154,0.000000,2.951863,0.000000,0.000000
0.000000,0.730769,0.000000,3.033108,0.000000,0.000000
0.000000,0.740385,0.000000,3.121686,0.000000,0.000000
0.000000,0.750000,0.000000,3.219008,0.000000,0.000000
0.000000,0.759615,0.000000,3.326733,0.000000,0.000000
0.000000,0.769231,0.000000,3.446812,0.000000,0.000000
0.000000,0.778846,0.000000,3.581554,0.000000,0.000000
0.000000,0.788462,0.000000,3.733695,0.000000,0.000000
