x,y,psi,omega,u,v
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.009615,0.000000,-0.001204,0.000000,0.000000
0.000000,0.019231,0.000000,-0.005196,0.000000,0.000000
0.000000,0.028846,0.000000,-0.009795,0.000000,0.000000
0.000000,0.038462,0.000000,-0.013414,0.000000,0.000000
0.000000,0.048077,0.000000,-0.015219,0.000000,0.000000
0.000000,0.057692,0.000000,-0.014822,0.000000,0.000000
0.000000,0.067308,0.000000,-0.012052,0.000000,0.000000
0.000000,0.076923,0.000000,-0.006840,0.000000,0.000000
0.000000,0.086538,0.000000,0.000825,0.000000,0.000000
0.000000,0.096154,0.000000,0.010927,0.000000,0.000000
0.000000,0.105769,0.000000,0.023435,0.000000,0.000000
0.000000,0.115385,0.000000,0.038304,0.000000,0.000000
0.000000,0.125000,0.000000,0.055486,0.000000,0.000000
0.000000,0.134615,0.000000,0.074930,0.000000,0.000000
0.000000,0.144231,0.000000,0.096584,0.000000,0.000000
0.000000,0.153846,0.000000,0.120396,0.000000,0.000000
0.000000,0.163462,0.000000,0.146312,0.000000,0.000000
0.000000,0.173077,0.000000,0.174279,0.000000,0.000000
0.000000,0.182692,0.000000,0.204246,0.000000,0.000000
0.000000,0.192308,0.000000,0.236160,0.000000,0.000000
0.000000,0.201923,0.000000,0.269967,0.000000,0.000000
0.000000,0.211538,0.000000,0.305614,0.000000,0.000000
0.000000,0.221154,0.000000,0.343046,0.000000,0.000000
0.000000,0.230769,0.000000,0.382206,0.000000,0.000000
0.000000,0.240385,0.000000,0.423037,0.000000,0.000000
0.000000,0.250000,0.000000,0.465478,0.000000,0.000000
0.000000,0.259615,0.000000,0.509467,0.000000,0.000000
0.000000,0.269231,0.000000,0.554939,0.000000,0.000000
0.000000,0.278846,0.000000,0.601828,0.000000,0.000000
0.000000,0.288462,0.000000,0.650063,0.000000,0.000000
0.000000,0.298077,0.000000,0.699570,0.000000,0.000000
0.000000,0.307692,0.000000,0.750273,0.000000,0.000000
0.000000,0.317308,0.000000,0.802093,0.000000,0.000000
0.000000,0.326923,0.000000,0.854949,0.000000,0.000000
0.000000,0.336538,0.000000,0.908753,0.000000,0.000000
0.000000,0.346154,0.000000,0.963418,0.000000,0.000000
0.000000,0.355769,0.000000,1.018853,0.000000,0.000000
0.000000,0.365385,0.000000,1.074965,0.000000,0.000000
0.000000,0.375000,0.000000,1.131657,0.000000,0.000000
0.000000,0.384615,0.000000,1.188833,0.000000,0.000000
0.000000,0.394231,0.000000,1.246393,0.000000,0.000000
0.000000,0.403846,0.000000,1.304238,0.000000,0.000000
