step,time,psi_res,omega_res,max_residual
0,1.0000000000000000e-04,9.7578195523695399e-15,4.3326118222813566e+04,4.3326118222813566e+04
5000,5.0009999999999999e-01,5.5706550483591855e-12,8.0614241960215338e+02,8.0614241960215338e+02
10000,1.0001000000000000e+00,9.1995497591285114e-12,4.2541376321093713e+02,4.2541376321093713e+02
15000,1.5001000000000000e+00,1.4832579608992091e-11,2.8267634424336944e+02,2.8267634424336944e+02
20000,2.0001000000000002e+00,1.8022916492554941e-11,2.0247987912119822e+02,2.0247987912119822e+02
25000,2.5001000000000002e+00,2.5629276478866814e-11,1.5207474109524279e+02,1.5207474109524279e+02
30000,3.0001000000000002e+00,2.7839952565500425e-11,1.1784210350005674e+02,1.1784210350005674e+02
35000,3.5001000000000002e+00,2.8105517912990763e-11,9.3001238756926199e+01,9.3001238756926199e+01
40000,4.0000999999999998e+00,3.4848568475354114e-11,7.5702154567165309e+01,7.5702154567165309e+01
45000,4.5001000000000007e+00,3.9552361386085977e-11,6.4583796662262344e+01,6.4583796662262344e+01
50000,5.0001000000000007e+00,3.9086955894163111e-11,5.7129983808416625e+01,5.7129983808416625e+01
55000,5.5001000000000007e+00,3.9076297753126710e-11,5.0515286673862725e+01,5.0515286673862725e+01
60000,6.0001000000000007e+00,4.6508574769177358e-11,4.3890342681440039e+01,4.3890342681440039e+01
65000,6.5001000000000007e+00,4.4297898682543746e-11,3.7102730370346663e+01,3.7102730370346663e+01
70000,7.0001000000000007e+00,5.1491255703695060e-11,3.1912711524616327e+01,3.1912711524616327e+01
75000,7.5001000000000007e+00,4.8316906031686813e-11,2.9204401704334206e+01,2.9204401704334206e+01
80000,8.0000999999999998e+00,5.0009774099635251e-11,2.6885263585540368e+01,2.6885263585540368e+01
85000,8.5000999999999998e+00,5.0386805838797954e-11,2.6135339778880070e+01,2.6135339778880070e+01
90000,9.0000999999999998e+00,5.3612225769938959e-11,2.5707477433423726e+01,2.5707477433423726e+01
95000,9.5000999999999998e+00,6.5491612133428134e-11,2.4795225806810922e+01,2.4795225806810922e+01
100000,1.0000100000000000e+01,6.2716942750284943e-11,2.3565769192039092e+01,2.3565769192039092e+01
105000,1.0500100000000000e+01,7.1492145536922180e-11,2.2647671778588467e+01,2.2647671778588467e+01
110000,1.1000100000000000e+01,7.6060047149439924e-11,2.2733479917975579e+01,2.2733479917975579e+01
115000,1.1500100000000000e+01,7.1702643822391110e-11,2.4578125524870710e+01,2.4578125524870710e+01
120000,1.2000100000000000e+01,7.7385209351632511e-11,2.8481484293295178e+01,2.8481484293295178e+01
125000,1.2500100000000000e+01,6.8131944530591682e-11,3.3868204901574089e+01,3.3868204901574089e+01
130000,1.3000100000000000e+01,7.9810824615833553e-11,3.7686895500584079e+01,3.7686895500584079e+01
135000,1.3500100000000000e+01,8.3982598653165041e-11,3.6350944390372668e+01,3.6350944390372668e+01
140000,1.4000100000000002e+01,9.1001872704055131e-11,3.1696159165433755e+01,3.1696159165433755e+01
145000,1.4500100000000002e+01,9.4871666078688577e-11,2.8171111013211796e+01,2.8171111013211796e+01
150000,1.5000100000000002e+01,7.7021944377975160e-11,2.5737464020984184e+01,2.5737464020984184e+01
155000,1.5500100000000002e+01,8.1521456252175994e-11,2.3137204164791534e+01,2.3137204164791534e+01
160000,1.6000100000000000e+01,8.2491791175698381e-11,2.0610219586429473e+01,2.0610219586429473e+01
165000,1.6500100000000000e+01,8.1254558637056107e-11,2.3038067088220526e+01,2.3038067088220526e+01
170000,1.7000100000000000e+01,8.0909945410212458e-11,2.6452623376964745e+01,2.6452623376964745e+01
175000,1.7500100000000000e+01,7.8909767609047776e-11,2.3785607037274907e+01,2.3785607037274907e+01
180000,1.8000100000000000e+01,8.2477580320983179e-11,1.9018862419830192e+01,1.9018862419830192e+01
185000,1.8500100000000000e+01,8.4176665637869519e-11,1.6219491832096100e+01,1.6219491832096100e+01
190000,1.9000100000000000e+01,9.5104368824650010e-11,1.8279681781654244e+01,1.8279681781654244e+01
195000,1.9500100000000000e+01,9.4464880362465919e-11,1.7025103662028378e+01,1.7025103662028378e+01
200000,2.0000100000000000e+01,8.4443563252989406e-11,1.3464295154576703e+01,1.3464295154576703e+01
205000,2.0500100000000000e+01,8.5718099285259086e-11,9.2001452004184809e+00,9.2001452004184809e+00
210000,2.1000100000000000e+01,8.7402085569010524e-11,8.9827088632380434e+00,8.9827088632380434e+00
215000,2.1500100000000000e+01,7.6834094642208584e-11,7.4936492568368633e+00,7.4936492568368633e+00
220000,2.2000100000000000e+01,7.8589357244140956e-11,8.1406044376508184e+00,8.1406044376508184e+00
225000,2.2500100000000000e+01,9.4281027429587994e-11,1.1883834371379525e+01,1.1883834371379525e+01
230000,2.3000100000000000e+01,7.8745898690613103e-11,1.0387879977269606e+01,1.0387879977269606e+01
235000,2.3500100000000000e+01,7.8136386250093892e-11,1.3287987259412374e+01,1.3287987259412374e+01
240000,2.4000100000000000e+01,8.9406704262273706e-11,1.5734048198302519e+01,1.5734048198302519e+01
245000,2.4500100000000000e+01,8.1438411569934033e-11,1.5874434391155374e+01,1.5874434391155374e+01
250000,2.5000100000000000e+01,8.1343598523631044e-11,1.2768203642459779e+01,1.2768203642459779e+01
255000,2.5500100000000000e+01,8.5772278168860794e-11,1.6325583266777063e+01,1.6325583266777063e+01
260000,2.6000100000000000e+01,1.0224687763127349e-10,1.4752385798450678e+01,1.4752385798450678e+01
265000,2.6500100000000000e+01,9.8335561915519065e-11,1.8527213321927608e+01,1.8527213321927608e+01
270000,2.7000100000000000e+01,8.6967544277172237e-11,1.8250795388110717e+01,1.8250795388110717e+01
275000,2.7500100000000000e+01,9.1217700060042262e-11,1.9984079387375459e+01,1.9984079387375459e+01
280000,2.8000100000000000e+01,8.3270855488759565e-11,3.3743735297973174e+01,3.3743735297973174e+01
285000,2.8500100000000000e+01,9.0210505732102320e-11,3.5137300662861477e+01,3.5137300662861477e+01
290000,2.9000100000000000e+01,7.7898354433614259e-11,2.3780924518104559e+01,2.3780924518104559e+01
295000,2.9500100000000000e+01,8.0700335303163229e-11,1.2302476397721790e+01,1.2302476397721790e+01
300000,3.0000100000000000e+01,8.6521345643575387e-11,9.4123482785287251e+00,9.4123482785287251e+00
305000,3.0500100000000000e+01,8.4925178001071799e-11,7.1636118908313620e+00,7.1636118908313620e+00
310000,3.1000100000000000e+01,8.5477624978125277e-11,4.8536429943568127e+00,4.8536429943568127e+00
315000,3.1500100000000000e+01,9.0345952941106589e-11,5.3777486254914777e+00,5.3777486254914777e+00
320000,3.2000100000000003e+01,9.6146923755924263e-11,7.8400743537064628e+00,7.8400743537064628e+00
325000,3.2500100000000003e+01,8.6681772870633722e-11,1.3725967771033075e+01,1.3725967771033075e+01
330000,3.3000100000000003e+01,9.9668495678884028e-11,1.5465833315864398e+01,1.5465833315864398e+01
335000,3.3500100000000003e+01,8.2958084846040947e-11,1.6183805653097995e+01,1.6183805653097995e+01
340000,3.4000100000000003e+01,9.5205399119890899e-11,1.3895635384477835e+01,1.3895635384477835e+01
345000,3.4500100000000003e+01,8.4404483402522601e-11,1.9616157285149836e+01,1.9616157285149836e+01
350000,3.5000100000000003e+01,7.9360740201650515e-11,2.9440273833743898e+01,2.9440273833743898e+01
355000,3.5500100000000003e+01,7.8065331976517882e-11,3.7576705459797680e+01,3.7576705459797680e+01
360000,3.6000100000000003e+01,8.0664586121770299e-11,3.9816635235110866e+01,3.9816635235110866e+01
365000,3.6500100000000003e+01,8.2771789422508846e-11,1.9901397265222261e+01,1.9901397265222261e+01
370000,3.7000100000000003e+01,9.1950114189387477e-11,2.2719186006183477e+01,2.2719186006183477e+01
375000,3.7500100000000003e+01,9.1864515994188878e-11,1.9064771951278761e+01,1.9064771951278761e+01
380000,3.8000100000000003e+01,8.2345463781052786e-11,3.3492299009764039e+01,3.3492299009764039e+01
385000,3.8500100000000003e+01,8.3676399142973423e-11,4.5421770165584768e+01,4.5421770165584768e+01
390000,3.9000100000000003e+01,9.1283425263100071e-11,3.6203111461994382e+01,3.6203111461994382e+01
395000,3.9500100000000003e+01,1.0304157527230018e-10,1.8885930658041730e+01,1.8885930658041730e+01
400000,4.0000100000000003e+01,8.9126039881648467e-11,1.5657398398329851e+01,1.5657398398329851e+01
405000,4.0500100000000003e+01,9.2798990714015872e-11,1.9878735918778236e+01,1.9878735918778236e+01
410000,4.1000100000000003e+01,9.0929708207454496e-11,2.4255789691607703e+01,2.4255789691607703e+01
415000,4.1500100000000003e+01,8.8345664117639444e-11,6.8786006174512863e+01,6.8786006174512863e+01
420000,4.2000100000000003e+01,9.0477320080495360e-11,9.2464479684616649e+01,9.2464479684616649e+01
425000,4.2500100000000003e+01,9.3583363280913545e-11,5.9355009756062785e+01,5.9355009756062785e+01
430000,4.3000100000000003e+01,8.5679907613211981e-11,2.2348815510694561e+01,2.2348815510694561e+01
435000,4.3500100000000003e+01,8.7396756498492323e-11,1.3271439783516293e+01,1.3271439783516293e+01
440000,4.4000100000000003e+01,8.8343998783102506e-11,1.3169916816340043e+01,1.3169916816340043e+01
445000,4.4500100000000003e+01,8.9679486059424107e-11,2.2481824842553166e+01,2.2481824842553166e+01
450000,4.5000100000000003e+01,9.0886409509494115e-11,2.0171664541646035e+01,2.0171664541646035e+01
455000,4.5500100000000003e+01,8.3931805949788441e-11,3.1461112964995383e+01,3.1461112964995383e+01
460000,4.6000100000000003e+01,9.1028684590099829e-11,2.9913840072827369e+01,2.9913840072827369e+01
465000,4.6500100000000003e+01,8.5983775655051886e-11,2.4773935118422628e+01,2.4773935118422628e+01
470000,4.7000100000000003e+01,9.4166591191324756e-11,6.8574882023845817e+01,6.8574882023845817e+01
475000,4.7500100000000003e+01,1.0424333618530568e-10,6.0884503546215882e+01,6.0884503546215882e+01
480000,4.8000100000000003e+01,8.5834395147088571e-11,2.6476787332093117e+01,2.6476787332093117e+01
485000,4.8500100000000003e+01,9.0697227506097988e-11,4.1910492033521912e+01,4.1910492033521912e+01
490000,4.9000100000000003e+01,8.0294871446229266e-11,3.9156300008870957e+01,3.9156300008870957e+01
495000,4.9500100000000003e+01,8.4713347447973320e-11,1.8896021376232049e+01,1.8896021376232049e+01
500000,5.0000100000000003e+01,8.3515194759797851e-11,2.4685686386666276e+01,2.4685686386666276e+01
505000,5.0500100000000003e+01,8.8757667882077840e-11,2.6375804894203625e+01,2.6375804894203625e+01
510000,5.1000100000000003e+01,8.7872820131451590e-11,4.2857944256124320e+01,4.2857944256124320e+01
515000,5.1500100000000003e+01,9.3699048520079486e-11,3.5862797353501939e+01,3.5862797353501939e+01
520000,5.2000100000000003e+01,8.9920071388860379e-11,2.2461669919662715e+01,2.2461669919662715e+01
525000,5.2500100000000003e+01,8.5893070433940011e-11,4.3759716694848990e+01,4.3759716694848990e+01
530000,5.3000100000000003e+01,8.7348572819223591e-11,1.1679212949504588e+02,1.1679212949504588e+02
535000,5.3500100000000003e+01,8.6910034724496654e-11,1.0708035154693056e+02,1.0708035154693056e+02
540000,5.4000100000000003e+01,8.4357520968580957e-11,3.9233829287312624e+01,3.9233829287312624e+01
545000,5.4500100000000003e+01,8.4351803320004137e-11,2.6268498456689436e+01,2.6268498456689436e+01
550000,5.5000100000000003e+01,8.8510421214493817e-11,3.6462580890248503e+01,3.6462580890248503e+01
555000,5.5500100000000003e+01,8.8594465097457942e-11,4.2659683135196531e+01,4.2659683135196531e+01
560000,5.6000100000000003e+01,8.7965190687100403e-11,2.3967653128147209e+01,2.3967653128147209e+01
565000,5.6500100000000003e+01,1.0099709957245295e-10,3.4462538823167925e+01,3.4462538823167925e+01
570000,5.7000100000000003e+01,8.5019102868955088e-11,3.9091619131219282e+01,3.9091619131219282e+01
575000,5.7500100000000003e+01,9.8846264506846637e-11,4.4732075254096806e+01,4.4732075254096806e+01
580000,5.8000100000000003e+01,9.2529373052485653e-11,7.5014392218762723e+01,7.5014392218762723e+01
585000,5.8500100000000003e+01,9.7362840012493734e-11,4.8699162953413932e+01,4.8699162953413932e+01
590000,5.9000100000000003e+01,7.9195427993283829e-11,4.5024209629367029e+01,4.5024209629367029e+01
595000,5.9500100000000003e+01,8.6260443232788475e-11,3.7424933471842628e+01,3.7424933471842628e+01
600000,6.0000100000000003e+01,8.5289719731207470e-11,3.1671228938257581e+01,3.1671228938257581e+01
605000,6.0500100000000003e+01,8.9038443285005542e-11,5.2069005494035643e+01,5.2069005494035643e+01
610000,6.1000100000000003e+01,9.5040197933826676e-11,3.2918089711452645e+01,3.2918089711452645e+01
615000,6.1500100000000003e+01,8.3099305214773267e-11,3.0770511634328329e+01,3.0770511634328329e+01
620000,6.2000100000000003e+01,9.0973006905414877e-11,3.8447259592144029e+01,3.8447259592144029e+01
625000,6.2500100000000003e+01,9.4385832483112608e-11,2.9162371840474858e+01,2.9162371840474858e+01
630000,6.3000100000000003e+01,9.6835484075796785e-11,8.3564464300208328e+01,8.3564464300208328e+01
635000,6.3500100000000003e+01,8.7397866721516948e-11,7.8198473551271434e+01,7.8198473551271434e+01
640000,6.4000100000000003e+01,8.9391938296046192e-11,3.0762615639379913e+01,3.0762615639379913e+01
645000,6.4500100000000003e+01,7.8751005716526379e-11,1.9112472149921722e+01,1.9112472149921722e+01
650000,6.5000100000000003e+01,8.6892160133800189e-11,2.0979693897140603e+01,2.0979693897140603e+01
655000,6.5500100000000003e+01,9.0880691860917295e-11,2.6062062971406959e+01,2.6062062971406959e+01
660000,6.6000100000000003e+01,8.8062002134847717e-11,4.3361144136779494e+01,4.3361144136779494e+01
665000,6.6500100000000003e+01,1.0509393355562224e-10,4.4729361417008256e+01,4.4729361417008256e+01
