step,time,psi_res,omega_res,max_residual
0,1.0000000000000000e-04,7.8062556418956319e-14,3.8277345696353930e+05,3.8277345696353930e+05
5000,5.0009999999999999e-01,1.6502355038028327e-11,7.9220802906410881e+01,7.9220802906410881e+01
10000,1.0001000000000000e+00,2.5911717216331454e-11,3.9325164762816335e+01,3.9325164762816335e+01
15000,1.5001000000000000e+00,3.4229508116823126e-11,2.5069984541036071e+01,2.5069984541036071e+01
20000,2.0001000000000002e+00,3.9551473207666277e-11,1.7264290830843365e+01,1.7264290830843365e+01
25000,2.5001000000000002e+00,5.2674309358735627e-11,1.2577501609054684e+01,1.2577501609054684e+01
30000,3.0001000000000002e+00,5.1072035489596601e-11,9.5322399007400662e+00,9.5322399007400662e+00
35000,3.5001000000000002e+00,5.2212456580491562e-11,7.4194999468189602e+00,7.4194999468189602e+00
40000,4.0000999999999998e+00,6.3862692911698105e-11,5.9100369789152394e+00,5.9100369789152394e+00
45000,4.5001000000000007e+00,6.6470384751937672e-11,4.8121993351076027e+00,4.8121993351076027e+00
50000,5.0001000000000007e+00,7.4522610304939008e-11,3.9886603014581370e+00,3.9886603014581370e+00
55000,5.5001000000000007e+00,7.2418071539459561e-11,3.3547106632220336e+00,3.3547106632220336e+00
60000,6.0001000000000007e+00,7.0452976785873034e-11,2.8558187936473622e+00,2.8558187936473622e+00
65000,6.5001000000000007e+00,7.8434592154508209e-11,2.4550807083651627e+00,2.4550807083651627e+00
70000,7.0001000000000007e+00,8.8143270460250278e-11,2.1288721670236828e+00,2.1288721670236828e+00
75000,7.5001000000000007e+00,9.3609120455084849e-11,1.8600185727682259e+00,1.8600185727682259e+00
80000,8.0000999999999998e+00,8.5492946055865104e-11,1.6360946449490692e+00,1.6360946449490692e+00
85000,8.5000999999999998e+00,9.8930641456718149e-11,1.4478332808378691e+00,1.4478332808378691e+00
90000,9.0000999999999998e+00,8.3531404015957378e-11,1.2876766507700692e+00,1.2876766507700692e+00
95000,9.5000999999999998e+00,9.1319840578307776e-11,1.1507287771208314e+00,1.1507287771208314e+00
100000,1.0000100000000000e+01,8.6831875023563043e-11,1.0323669846377899e+00,1.0323669846377899e+00
105000,1.0500100000000000e+01,1.0975531594681343e-10,9.2965095251240704e-01,9.2965095251240704e-01
110000,1.1000100000000000e+01,1.2148326788974373e-10,8.3972907088163828e-01,8.3972907088163828e-01
115000,1.1500100000000000e+01,1.1878986683200310e-10,7.6061410259276485e-01,7.6061410259276485e-01
120000,1.2000100000000000e+01,1.2989032072141526e-10,6.9085465953048364e-01,6.9085465953048364e-01
125000,1.2500100000000000e+01,1.4440892925904336e-10,6.2909605038420691e-01,6.2909605038420691e-01
130000,1.3000100000000000e+01,1.3358825157183674e-10,5.7411236160561741e-01,5.7411236160561741e-01
135000,1.3500100000000000e+01,1.4194734276884446e-10,5.2508584716331197e-01,5.2508584716331197e-01
